YearMonth,Red,Sparkling,Sweetwhite
1980-01,464,1686,85
1980-02,675,1591,89
1980-03,703,2304,109
1980-04,887,1712,95
1980-05,1139,1471,91
1980-06,1077,1377,95
1980-07,1318,1966,96
1980-08,1260,2453,128
1980-09,1120,1984,124
1980-10,963,2596,111
1980-11,996,4087,178
1980-12,960,5179,140
1981-01,530,1530,150
1981-02,883,1523,132
1981-03,894,1633,155
1981-04,1045,1976,132
1981-05,1199,1170,91
1981-06,1287,1480,94
1981-07,1565,1781,109
1981-08,1577,2472,155
1981-09,1076,1981,123
1981-10,918,2273,130
1981-11,1008,3857,150
1981-12,1063,4551,163
1982-01,544,1510,101
1982-02,635,1329,123
1982-03,804,1518,127
1982-04,980,1790,112
1982-05,1018,1537,108
1982-06,1064,1449,116
1982-07,1404,1954,153
1982-08,1286,1897,163
1982-09,1104,1706,128
1982-10,999,2514,142
1982-11,996,3593,170
1982-12,1015,4524,214
1983-01,615,1609,134
1983-02,722,1638,122
1983-03,832,2030,142
1983-04,977,1375,156
1983-05,1270,1320,145
1983-06,1437,1245,169
1983-07,1520,1600,134
1983-08,1708,2298,165
1983-09,1151,2191,156
1983-10,934,2511,111
1983-11,1159,3440,165
1983-12,1209,4923,197
1984-01,699,1609,124
1984-02,830,1435,124
1984-03,996,2061,139
1984-04,1124,1789,137
1984-05,1458,1567,127
1984-06,1270,1404,134
1984-07,1753,1597,136
1984-08,2258,3159,171
1984-09,1208,1759,112
1984-10,1241,2504,110
1984-11,1265,4273,147
1984-12,1828,5274,196
1985-01,809,1771,112
1985-02,997,1682,118
1985-03,1164,1846,125
1985-04,1205,1589,122
1985-05,1538,1896,120
1985-06,1513,1379,118
1985-07,1378,1645,281
1985-08,2083,2512,344
1985-09,1357,1771,366
1985-10,1536,3727,362
1985-11,1526,4388,580
1985-12,1376,5434,523
1986-01,779,1606,348
1986-02,1005,1523,246
1986-03,1193,1577,197
1986-04,1522,1605,306
1986-05,1539,1765,279
1986-06,1546,1403,280
1986-07,2116,2584,358
1986-08,2326,3318,431
1986-09,1596,1562,448
1986-10,1356,2349,433
1986-11,1553,3987,504
1986-12,1613,5891,579
1987-01,814,1389,384
1987-02,1150,1442,335
1987-03,1225,1548,320
1987-04,1691,1935,496
1987-05,1759,1518,448
1987-06,1754,1250,377
1987-07,2100,1847,523
1987-08,2062,1930,468
1987-09,2012,2638,428
1987-10,1897,3114,520
1987-11,1964,4405,493
1987-12,2186,7242,662
1988-01,966,1853,304
1988-02,1549,1779,308
1988-03,1538,2108,313
1988-04,1612,2336,328
1988-05,2078,1728,354
1988-06,2137,1661,338
1988-07,2907,2230,483
1988-08,2249,1645,355
1988-09,1883,2421,439
1988-10,1739,3740,290
1988-11,1828,4988,352
1988-12,1868,6757,454
1989-01,1138,1757,306
1989-02,1430,1394,303
1989-03,1809,1982,344
1989-04,1763,1650,254
1989-05,2200,1654,309
1989-06,2067,1406,310
1989-07,2503,1971,379
1989-08,2141,1968,294
1989-09,2103,2608,356
1989-10,1972,3845,318
1989-11,2181,4514,405
1989-12,2344,6694,545
1990-01,970,1720,268
1990-02,1199,1321,243
1990-03,1718,1859,273
1990-04,1683,1628,273
1990-05,2025,1615,236
1990-06,2051,1457,222
1990-07,2439,1899,302
1990-08,2353,1605,285
1990-09,2230,2424,309
1990-10,1852,3116,322
1990-11,2147,4286,362
1990-12,2286,6047,471
1991-01,1007,1902,198
1991-02,1665,2049,253
1991-03,1642,1874,173
1991-04,1518,1279,186
1991-05,1831,1432,185
1991-06,2207,1540,105
1991-07,2822,2214,228
1991-08,2393,1857,214
1991-09,2306,2408,189
1991-10,1785,3252,270
1991-11,2047,3627,277
1991-12,2171,6153,378
1992-01,1212,1577,185
1992-02,1335,1667,182
1992-03,2011,1993,258
1992-04,1860,1997,179
1992-05,1954,1783,197
1992-06,2152,1625,168
1992-07,2835,2076,250
1992-08,2224,1773,211
1992-09,2182,2377,260
1992-10,1992,3088,234
1992-11,2389,4096,305
1992-12,2724,6119,347
1993-01,891,1494,203
1993-02,1247,1564,217
1993-03,2017,1898,227
1993-04,2257,2121,242
1993-05,2255,1831,185
1993-06,2255,1515,175
1993-07,3057,2048,252
1993-08,3330,2795,319
1993-09,1896,1749,202
1993-10,2096,3339,254
1993-11,2374,4227,336
1993-12,2535,6410,431
1994-01,1041,1197,150
1994-02,1728,1968,280
1994-03,2201,1720,187
1994-04,2455,1725,279
1994-05,2204,1674,193
1994-06,2660,1693,227
1994-07,3670,2031,225
1994-08,2665,1495,205
1994-09,2639,2968,259
1994-10,2226,3385,254
1994-11,2586,3729,275
1994-12,2684,5999,394
1995-01,1185,1070,159
1995-02,1749,1402,230
1995-03,2459,1897,188
1995-04,2618,1862,195
1995-05,2585,1670,189
1995-06,3310,1688,220
1995-07,3923,2031,274
